date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:32	2409/2409	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:23%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fbrand-new-thing%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embedb7e1.json	(from http://www.joanbosch.tv/brand-new-thing/)
14:24:33	2544/2544	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:24%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fbrand-new-thing%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embedad66	(from http://www.joanbosch.tv/brand-new-thing/)
14:24:34	2381/2381	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:24%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fpidete-mas-ti%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embedb2f6.json	(from http://www.joanbosch.tv/pidete-mas-ti/)
14:24:34	2516/2516	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:25%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fpidete-mas-ti%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embedb020	(from http://www.joanbosch.tv/pidete-mas-ti/)
14:24:35	749484/749484	---MCZ	200	added ('OK')	text/plain	date:Tue,%2018%20Apr%202017%2022:53:07%20GMT	http://www.joanbosch.tv/wp-content/themes/joanbosch/fonts/ACaslonPro-Regular.ttf	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-content/themes/joanbosch/fonts/ACaslonPro-Regular.ttf	(from http://www.joanbosch.tv/wp-content/cache/min/1/wp-content/themes/joanbosch/style-206b74d9dc70c4e3f9cb15227bdf4494.css)
14:24:35	2463/2463	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:26%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fconoce-tu-cultura-mejora-tu-futuro%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embedbc12.json	(from http://www.joanbosch.tv/conoce-tu-cultura-mejora-tu-futuro/)
14:24:35	2598/2598	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:26%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fconoce-tu-cultura-mejora-tu-futuro%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed5911	(from http://www.joanbosch.tv/conoce-tu-cultura-mejora-tu-futuro/)
14:24:36	2374/2374	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:27%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fhomesick%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embede728.json	(from http://www.joanbosch.tv/homesick/)
14:24:36	2509/2509	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:27%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fhomesick%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embedf30d	(from http://www.joanbosch.tv/homesick/)
14:24:37	2354/2354	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:28%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fnube%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed56cb.json	(from http://www.joanbosch.tv/nube/)
14:24:37	2489/2489	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:28%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fnube%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed43ab	(from http://www.joanbosch.tv/nube/)
14:24:38	2363/2363	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:29%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fisla-desierta%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embedf247.json	(from http://www.joanbosch.tv/isla-desierta/)
14:24:38	2498/2498	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:29%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fisla-desierta%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed8459	(from http://www.joanbosch.tv/isla-desierta/)
14:24:39	2335/2335	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:30%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fdelilium%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed189f.json	(from http://www.joanbosch.tv/delilium/)
14:24:39	2470/2470	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:30%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fdelilium%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embedd136	(from http://www.joanbosch.tv/delilium/)
14:24:40	2390/2390	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:31%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Faficion-dc%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed1955.json	(from http://www.joanbosch.tv/aficion-dc/)
14:24:41	2525/2525	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:31%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Faficion-dc%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed1eea	(from http://www.joanbosch.tv/aficion-dc/)
14:24:41	2440/2440	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:32%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fcold-dark-lonely%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed3c5d.json	(from http://www.joanbosch.tv/cold-dark-lonely/)
14:24:42	2577/2577	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:33%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fcold-dark-lonely%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed20d9	(from http://www.joanbosch.tv/cold-dark-lonely/)
14:24:42	2340/2340	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:33%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fcheating%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed9b56.json	(from http://www.joanbosch.tv/cheating/)
14:24:43	2475/2475	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:34%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fcheating%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embedf4df	(from http://www.joanbosch.tv/cheating/)
14:24:43	2352/2352	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:34%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fles-coses%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed959f.json	(from http://www.joanbosch.tv/les-coses/)
14:24:44	2487/2487	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:35%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fles-coses%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed9a16	(from http://www.joanbosch.tv/les-coses/)
14:24:44	2358/2358	---MC-	200	added ('OK')	application/json	date:Mon,%2018%20Mar%202019%2013:24:35%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fnathy-peluso%2F	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embeda954.json	(from http://www.joanbosch.tv/nathy-peluso/)
14:24:45	2493/2493	---MCZ	200	added ('OK')	text/xml	date:Mon,%2018%20Mar%202019%2013:24:36%20GMT	http://www.joanbosch.tv/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.joanbosch.tv%2Fnathy-peluso%2F&format=xml	C:/My%20Web%20Sites/webales/www.joanbosch.tv/wp-json/oembed/1.0/embed75ea	(from http://www.joanbosch.tv/nathy-peluso/)
